[2025-06-13 20:31:38.165] [info]  DiscordSplash.signalReady
[2025-06-13 20:31:38.175] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-06-13 20:31:38.175] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-06-13 20:31:38.176] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-06-13 20:31:38.176] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-06-13 20:31:38.177] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-06-13 20:31:38.177] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-06-13 20:31:38.177] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-06-13 20:31:38.177] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-06-13 20:31:38.177] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-06-13 20:31:38.177] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-06-13 20:31:38.177] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-06-13 20:31:38.177] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-06-13 20:31:38.177] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-06-13 20:31:38.177] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-06-13 20:31:38.499] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-06-13 20:31:38.499] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-06-13 20:31:39.165] [info]  Splash.updateCountdownSeconds: undefined
[2025-06-13 20:31:39.239] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-06-13 20:31:39.239] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-06-13 20:31:39.247] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
